file_name,language_code,language_name,script_code,script_name
tha-x-bible-easy.txt,tha,Thai,Thai,Thai
tha-x-bible-kjv.txt,tha,Thai,Thai,Thai
tha-x-bible-newcontemporary.txt,tha,Thai,Thai,Thai
tha-x-bible-newworld.txt,tha,Thai,Thai,Thai
tha-x-bible-standard1971.txt,tha,Thai,Thai,Thai
tha-x-bible-standard2011.txt,tha,Thai,Thai,Thai
thk-x-bible.txt,thk,Kitharaka,Latn,Latin
tih-x-bible.txt,tih,Timugon Murut,Latn,Latin
tik-x-bible.txt,tik,Tikar,Latn,Latin
tim-x-bible.txt,tim,Timbe,Latn,Latin
tir-x-bible-newworld.txt,tir,Tigrinya,Ethi,Ethiopic (GeÊ»ez)
tir-x-bible.txt,tir,Tigrinya,Ethi,Ethiopic (GeÊ»ez)
tku-x-bible.txt,tku,Upper Necaxa Totonac,Latn,Latin
tlb-x-bible.txt,tlb,Tobelo,Latn,Latin
tlf-x-bible.txt,tlf,Telefol,Latn,Latin
tlh-x-bible.txt,tlh,Klingon,Latn,Latin
tna-x-bible.txt,tna,Tacana,Latn,Latin
tnn-x-bible.txt,tnn,North Tanna,Latn,Latin
tob-x-bible.txt,tob,Toba,Latn,Latin
toc-x-bible.txt,toc,Coyutla Totonac,Latn,Latin
toh-x-bible.txt,toh,Gitonga,Latn,Latin
toj-x-bible.txt,toj,Tojolabal,Latn,Latin
too-x-bible.txt,too,Xicotepec De Juárez Totonac,Latn,Latin
top-x-bible.txt,top,Papantla Totonac,Latn,Latin
tos-x-bible.txt,tos,Highland Totonac,Latn,Latin
tpa-x-bible.txt,tpa,Taupota,Latn,Latin
tpi-x-bible-newworld.txt,tpi,Tok Pisin,Latn,Latin
tpi-x-bible.txt,tpi,Tok Pisin,Latn,Latin
tpm-x-bible.txt,tpm,Tampulma,Latn,Latin
tpp-x-bible.txt,tpp,Pisaflores Tepehua,Latn,Latin
tpt-x-bible.txt,tpt,Tlachichilco Tepehua,Latn,Latin
tpz-x-bible.txt,tpz,Tinputz,Latn,Latin
tqb-x-bible.txt,tqb,Tembé,Latn,Latin
trc-x-bible.txt,trc,Copala Triqui,Latn,Latin
trn-x-bible.txt,trn,Trinitario,Latn,Latin
trq-x-bible.txt,trq,San Martín Itunyoso Triqui,Latn,Latin
tsn-x-bible-1908.txt,tsn,Tswana,Latn,Latin
tsn-x-bible-1970.txt,tsn,Tswana,Latn,Latin
tso-x-bible-1929.txt,tso,Tsonga,Latn,Latin
tso-x-bible-1989.txt,tso,Tsonga,Latn,Latin
tso-x-bible-newworld.txt,tso,Tsonga,Latn,Latin
tsz-x-bible.txt,tsz,Purepecha,Latn,Latin
ttc-x-bible.txt,ttc,Tektiteko,Latn,Latin
tte-x-bible.txt,tte,Bwanabwana,Latn,Latin
ttq-x-bible.txt,ttq,Tawallammat Tamajaq,Latn,Latin
tuc-x-bible-2011VAR1.txt,tuc,Mutu,Latn,Latin
tuc-x-bible-2011VAR2.txt,tuc,Mutu,Latn,Latin
tuc-x-bible-patabuang.txt,tuc,Mutu,Latn,Latin
tuc-x-bible-patabuyaang.txt,tuc,Mutu,Latn,Latin
tue-x-bible.txt,tue,Tuyuca,Latn,Latin
tuf-x-bible.txt,tuf,Central Tunebo,Latn,Latin
tui-x-bible.txt,tui,Tupuri,Latn,Latin
tuk-x-bible-cyrillic.txt,tuk,Turkmen,Cyrl,Cyrillic
tuk-x-bible-injil.txt,tuk,Turkmen,Latn,Latin
tuk-x-bible-mukaddes.txt,tuk,Turkmen,Latn,Latin
tum-x-bible.txt,tum,Tumbuka,Latn,Latin
tuo-x-bible-2004.txt,tuo,Tucano,Latn,Latin
tuo-x-bible-2009.txt,tuo,Tucano,Latn,Latin
tur-x-bible-2004.txt,tur,Turkish,Latn,Latin
tur-x-bible-2009.txt,tur,Turkish,Latn,Latin
tur-x-bible-goodnews.txt,tur,Turkish,Latn,Latin
tur-x-bible-newworld.txt,tur,Turkish,Latn,Latin
tur-x-bible-southernazeri.txt,tur,Turkish,Latn,Latin
twi-x-bible-newworld.txt,twi,Twi,Latn,Latin
twi-x-bible.txt,twi,Twi,Latn,Latin
twu-x-bible.txt,twu,Termanu,Latn,Latin
txu-x-bible.txt,txu,Kayapó,Latn,Latin
tyv-x-bible.txt,tyv,Tuvinian,Cyrl,Cyrillic
tzh-x-bible-bachajon.txt,tzh,Tzeltal,Latn,Latin
tzh-x-bible-oxchuc.txt,tzh,Tzeltal,Latn,Latin
tzj-x-bible-eastern.txt,tzj,Tz'utujil,Latn,Latin
tzj-x-bible-western.txt,tzj,Tz'utujil,Latn,Latin
tzo-x-bible-1997.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-chamula.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-chamula2000.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-chenalho.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-huixtan.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-newworld.txt,tzo,Tzotzil,Latn,Latin
tzo-x-bible-zinacantan.txt,tzo,Tzotzil,Latn,Latin
ubr-x-bible.txt,ubr,Ubir,Latn,Latin
ubu-x-bible-kala.txt,ubu,Umbu-Ungu,Latn,Latin
ubu-x-bible-nopenge.txt,ubu,Umbu-Ungu,Latn,Latin
udu-x-bible.txt,udu,Uduk,Latn,Latin
uig-x-bible-arabic.txt,uig,Uighur,Arab,Arabic
uig-x-bible-cyrillic.txt,uig,Uighur,Cyrl,Cyrillic
uig-x-bible-romanized.txt,uig,Uighur,Latn,Latin
uig-x-bible.txt,uig,Uighur,Arab,Arabic
ukr-x-bible-1871.txt,ukr,Ukrainian,Cyrl,Cyrillic
ukr-x-bible-1962.txt,ukr,Ukrainian,Cyrl,Cyrillic
ukr-x-bible-2007.txt,ukr,Ukrainian,Cyrl,Cyrillic
ukr-x-bible-2009.txt,ukr,Ukrainian,Cyrl,Cyrillic
upv-x-bible.txt,upv,Uripiv-Wala-Rano-Atchin,Latn,Latin
ura-x-bible.txt,ura,Urarina,Latn,Latin
urb-x-bible.txt,urb,Kaapor,Latn,Latin
urd-x-bible-2007.txt,urd,Urdu,Arab,Arabic
urd-x-bible-devanagari.txt,urd,Urdu,Deva,Devanagari (Nagari)
urd-x-bible-international.txt,urd,Urdu,Arab,Arabic
urd-x-bible-revised2010.txt,urd,Urdu,Arab,Arabic
urk-x-bible.txt,urk,Urak Lawoi',Thai,Thai
usa-x-bible.txt,usa,Usarufa,Latn,Latin
usp-x-bible.txt,usp,Uspanteco,Latn,Latin
uvl-x-bible.txt,uvl,Lote,Latn,Latin
uzb-x-bible-latin2008.txt,uzb,Uzbek,Latn,Latin
uzb-x-bible-latin2013.txt,uzb,Uzbek,Latn,Latin
uzb-x-bible-newworld.txt,uzb,Uzbek,Cyrl,Cyrillic
vag-x-bible.txt,vag,Vagla,Latn,Latin
ven-x-bible-newworld.txt,ven,Venda,Latn,Latin
ven-x-bible.txt,ven,Venda,Latn,Latin
vie-x-bible-1926compounds.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-1926nocompounds.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-2002.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-bandich.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-banphothong.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-bd2011.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-newworld.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-revised.txt,vie,Vietnamese,Latn,Latin
vie-x-bible-revised2010.txt,vie,Vietnamese,Latn,Latin
viv-x-bible.txt,viv,Iduna,Latn,Latin
vmy-x-bible.txt,vmy,Ayautla Mazatec,Latn,Latin
vun-x-bible.txt,vun,Vunjo,Latn,Latin
vut-x-bible.txt,vut,Vute,Latn,Latin
waj-x-bible.txt,waj,Waffa,Latn,Latin
wal-x-bible.txt,wal,Wolaitta,Latn,Latin
wap-x-bible.txt,wap,Wapishana,Latn,Latin
war-x-bible-newworld.txt,war,Waray (Philippines),Latn,Latin
war-x-bible.txt,war,Waray (Philippines),Latn,Latin
way-x-bible.txt,way,Wayana,Latn,Latin
wbm-x-bible.txt,wbm,Wa,Latn,Latin
wbp-x-bible.txt,wbp,Warlpiri,Latn,Latin
wca-x-bible.txt,wca,Yanomámi,Latn,Latin
wed-x-bible-topura.txt,wed,Wedau,Latn,Latin
wed-x-bible-wedau.txt,wed,Wedau,Latn,Latin
wer-x-bible.txt,wer,Weri,Latn,Latin
whk-x-bible.txt,whk,Wahau Kenyah,Latn,Latin
wiu-x-bible.txt,wiu,Wiru,Latn,Latin
wmw-x-bible.txt,wmw,Mwani,Latn,Latin
wnc-x-bible.txt,wnc,Wantoat,Latn,Latin
wnu-x-bible.txt,wnu,Usan,Latn,Latin
wob-x-bible.txt,wob,Wè Northern,Latn,Latin
wol-x-bible.txt,wol,Wolof,Latn,Latin
wos-x-bible.txt,wos,Hanga Hundi,Latn,Latin
wrs-x-bible.txt,wrs,Waris,Latn,Latin
wsk-x-bible.txt,wsk,Waskia,Latn,Latin
wuv-x-bible.txt,wuv,Wuvulu-Aua,Latn,Latin
wwa-x-bible.txt,wwa,Waama,Latn,Latin
xal-x-bible.txt,xal,Kalmyk,Cyrl,Cyrillic
xav-x-bible.txt,xav,Xavánte,Latn,Latin
xbi-x-bible-wampukuamp.txt,xbi,Kombio,Latn,Latin
xbi-x-bible-yanimoi.txt,xbi,Kombio,Latn,Latin
xbr-x-bible.txt,xbr,Kambera,Latn,Latin
xed-x-bible.txt,xed,Hdi,Latn,Latin
xho-x-bible-1996.txt,xho,Xhosa,Latn,Latin
xho-x-bible-2012.txt,xho,Xhosa,Latn,Latin
